id_pedido,fecha_pedido,id_cliente,descripcion_pedido,peso,volumen,estado_pedido
29,2021-12-11 23:23:03,109,Curabitur convallis.,110,5.5,pendiente
30,2022-11-20 18:16:56,58,Maecenas rhoncus aliquam lacus.,110,9.1,pendiente
31,2024-02-16 19:30:50,82,In eleifend quam a odio. In hac habitasse platea dictumst.,110,1.2,cancelado
32,2023-01-08 05:57:09,55,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",60,6.0,cancelado
33,2022-03-31 11:00:55,98,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",30,8.0,en transito
34,2023-08-05 09:02:26,103,Vivamus vestibulum sagittis sapien.,60,3.1,cancelado
35,2020-07-23 17:38:52,29,Nulla ut erat id mauris vulputate elementum.,30,4.0,pendiente
36,2020-06-11 17:42:53,27,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,75,3.1,pendiente
37,2023-01-05 00:51:57,20,Cras non velit nec nisi vulputate nonummy.,15,3.1,entregado
38,2023-07-28 15:08:10,24,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",75,4.0,pendiente
39,2020-05-22 11:16:19,137,Aenean auctor gravida sem.,90,1.2,pendiente
40,2024-04-25 20:38:41,49,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",150,9.1,cancelado
41,2024-10-24 03:07:29,4,Duis mattis egestas metus.,135,5.5,entregado
42,2020-12-02 13:54:03,35,Duis at velit eu est congue elementum.,30,5.5,pendiente
43,2023-03-12 03:16:49,79,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",30,9.1,pendiente
44,2023-11-15 13:05:17,59,Morbi quis tortor id nulla ultrices aliquet.,30,2.5,cancelado
45,2022-01-12 06:54:40,130,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,60,6.0,en transito
46,2024-10-25 10:09:07,68,Ut tellus. Nulla ut erat id mauris vulputate elementum.,75,8.0,cancelado
47,2021-03-24 11:44:33,86,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",45,3.1,en transito
48,2021-04-14 15:14:40,34,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",90,3.1,en transito
49,2023-09-18 23:14:58,30,Nulla facilisi.,60,4.0,entregado
50,2024-05-20 05:41:41,45,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",90,6.0,entregado
51,2020-05-15 20:19:04,11,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",90,8.0,pendiente
52,2023-11-13 07:23:46,27,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,45,1.2,pendiente
53,2023-07-27 01:39:06,117,Proin risus. Praesent lectus.,15,4.0,entregado
54,2024-03-14 06:58:03,72,Sed sagittis.,135,2.5,entregado
55,2020-09-13 16:02:48,16,Vivamus vel nulla eget eros elementum pellentesque.,15,4.8,en transito
56,2022-02-26 05:49:56,105,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",60,4.8,entregado
57,2024-09-17 08:05:52,83,Donec ut dolor.,45,9.1,cancelado
58,2020-04-11 11:18:21,59,Nulla ut erat id mauris vulputate elementum. Nullam varius.,90,2.5,en transito
59,2021-01-09 16:30:21,136,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,15,3.1,entregado
60,2022-12-05 02:07:06,98,Sed ante.,150,6.0,pendiente
61,2024-01-23 05:32:58,49,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",90,7.2,pendiente
62,2023-11-07 21:44:47,112,Praesent blandit.,45,4.0,en transito
63,2023-06-16 07:25:40,33,Quisque id justo sit amet sapien dignissim vestibulum.,15,9.1,cancelado
64,2021-09-02 05:05:52,4,In quis justo. Maecenas rhoncus aliquam lacus.,45,1.2,cancelado
65,2023-10-05 12:52:40,92,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",135,5.5,pendiente
66,2024-03-12 02:31:26,133,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",90,9.1,entregado
67,2022-05-07 16:45:16,107,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",75,3.1,cancelado
68,2021-03-15 00:08:55,58,Aliquam non mauris.,75,7.2,cancelado
69,2020-11-13 19:09:18,135,In sagittis dui vel nisl.,135,7.2,cancelado
70,2022-10-25 19:42:14,118,In sagittis dui vel nisl. Duis ac nibh.,110,6.0,pendiente
71,2021-11-23 18:47:02,139,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",60,5.5,entregado
72,2021-11-24 17:36:35,71,Proin risus.,15,8.0,en transito
73,2021-02-12 06:47:41,120,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,120,6.0,cancelado
74,2020-03-29 04:09:15,14,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",135,7.2,cancelado
75,2022-11-28 17:31:19,11,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,110,8.0,entregado
76,2024-11-02 20:44:19,9,Donec semper sapien a libero.,90,2.5,en transito
77,2022-05-29 11:53:21,79,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,135,3.1,entregado
78,2022-12-18 10:00:52,49,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",110,7.2,entregado
79,2020-07-16 09:30:01,42,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",45,5.5,entregado
80,2020-11-10 04:25:09,98,Maecenas tincidunt lacus at velit.,60,3.1,cancelado
81,2020-03-03 11:54:54,23,Sed ante. Vivamus tortor.,45,4.8,en transito
82,2022-03-22 20:34:21,141,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",110,4.8,pendiente
83,2021-08-31 18:51:36,116,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",110,1.2,en transito
84,2021-05-16 05:19:01,53,Sed vel enim sit amet nunc viverra dapibus.,135,6.0,entregado
85,2021-05-23 06:01:03,100,Sed sagittis.,45,9.1,cancelado
86,2023-12-07 07:35:13,133,Suspendisse potenti.,90,5.5,pendiente
87,2020-05-12 05:18:35,47,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",150,8.0,cancelado
88,2021-06-28 08:40:45,114,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,110,9.1,cancelado
89,2021-12-22 07:46:39,33,Duis mattis egestas metus.,135,4.8,pendiente
90,2021-12-26 16:13:03,48,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,30,2.5,cancelado
91,2024-10-02 21:22:09,19,Duis mattis egestas metus.,150,4.8,cancelado
92,2022-01-02 16:18:12,141,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",30,8.0,pendiente
93,2021-09-15 14:40:16,29,Praesent blandit.,150,3.1,entregado
94,2022-10-11 00:03:52,25,Proin interdum mauris non ligula pellentesque ultrices.,150,3.1,cancelado
95,2022-05-10 07:04:47,80,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,135,9.1,cancelado
96,2021-09-11 10:29:16,116,Aliquam sit amet diam in magna bibendum imperdiet.,30,4.8,pendiente
97,2021-02-14 23:56:19,123,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",110,4.8,entregado
98,2022-05-07 02:50:53,91,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",90,8.0,cancelado
99,2024-01-24 20:21:05,90,Phasellus in felis.,30,4.8,entregado
100,2021-02-14 21:48:07,52,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",15,7.2,pendiente
101,2023-05-12 14:01:06,123,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",45,7.2,cancelado
102,2021-05-02 10:45:38,75,Nullam porttitor lacus at turpis.,120,7.2,en transito
103,2024-08-04 18:29:57,117,Integer a nibh.,150,3.1,cancelado
104,2022-04-16 07:22:15,136,Aenean lectus.,110,4.8,cancelado
105,2023-04-22 07:13:12,3,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,15,8.0,cancelado
106,2021-09-14 13:40:15,138,Aliquam erat volutpat.,110,6.0,cancelado
107,2023-05-22 12:35:59,62,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",110,6.0,pendiente
108,2021-07-07 12:29:23,37,Quisque porta volutpat erat.,120,3.1,entregado
109,2023-12-21 16:24:33,61,Quisque ut erat.,135,7.2,entregado
110,2021-04-21 04:44:12,134,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",150,7.2,pendiente
111,2022-01-06 11:21:49,23,Nunc nisl.,60,4.8,en transito
112,2020-12-05 05:01:26,28,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,15,7.2,entregado
113,2020-02-18 03:44:28,66,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,135,3.1,cancelado
114,2023-02-11 14:15:14,44,Morbi vel lectus in quam fringilla rhoncus.,60,2.5,entregado
115,2022-11-22 14:00:35,62,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",45,2.5,en transito
116,2024-11-03 02:06:53,53,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,15,6.0,en transito
117,2024-11-17 03:01:47,56,Sed accumsan felis. Ut at dolor quis odio consequat varius.,15,2.5,pendiente
118,2022-09-22 07:19:58,69,Proin eu mi.,45,3.1,pendiente
119,2024-07-06 12:03:19,147,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",135,3.1,cancelado
120,2022-04-17 21:57:55,106,Nulla ac enim.,135,9.1,cancelado
121,2024-07-13 11:23:24,91,Nulla tellus. In sagittis dui vel nisl.,75,8.0,pendiente
122,2020-12-10 22:14:41,99,Etiam justo. Etiam pretium iaculis justo.,120,4.0,en transito
123,2023-11-25 11:35:46,44,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,15,1.2,entregado
124,2024-12-20 15:50:05,77,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",150,4.0,pendiente
125,2023-05-02 20:12:54,107,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",30,7.2,pendiente
126,2020-06-19 03:12:20,32,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,45,5.5,pendiente
127,2020-12-12 00:13:50,61,Praesent blandit lacinia erat.,120,8.0,en transito
128,2024-08-19 16:52:08,67,Suspendisse potenti.,135,5.5,pendiente
129,2022-04-08 02:02:10,132,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",75,4.8,en transito
130,2023-07-26 17:19:43,108,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",135,8.0,entregado
131,2023-11-25 20:50:25,115,Suspendisse ornare consequat lectus.,110,9.1,entregado
132,2024-09-28 00:09:26,28,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",150,7.2,cancelado
133,2020-11-01 03:57:24,82,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,120,1.2,pendiente
134,2020-08-23 00:52:02,65,Suspendisse potenti.,150,1.2,cancelado
135,2022-10-06 02:53:55,107,Proin at turpis a pede posuere nonummy. Integer non velit.,60,5.5,entregado
136,2021-07-02 20:39:52,51,Nullam varius. Nulla facilisi.,135,4.0,pendiente
137,2020-12-19 06:02:31,93,Nunc nisl.,135,3.1,en transito
138,2020-01-03 13:52:09,17,Phasellus sit amet erat.,75,7.2,en transito
139,2022-09-23 12:09:23,75,Duis bibendum.,30,3.1,en transito
140,2024-04-08 02:08:19,87,Suspendisse accumsan tortor quis turpis. Sed ante.,30,4.8,cancelado
141,2023-09-22 09:57:52,96,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",110,9.1,cancelado
142,2023-03-21 23:41:41,34,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,15,7.2,cancelado
143,2022-08-28 04:24:32,36,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",110,5.5,pendiente
144,2024-10-09 02:12:29,73,Vivamus tortor. Duis mattis egestas metus.,75,5.5,pendiente
145,2024-03-02 12:19:43,80,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,135,2.5,en transito
146,2023-09-09 07:49:13,120,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,45,2.5,pendiente
147,2020-08-18 20:16:29,40,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",30,3.1,en transito
148,2021-06-17 10:02:42,107,Proin eu mi.,30,8.0,pendiente
149,2024-06-18 21:48:19,87,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",15,8.0,en transito
150,2024-05-02 16:03:22,83,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",60,6.0,entregado
151,2021-06-09 01:51:21,69,Vivamus tortor. Duis mattis egestas metus.,150,6.0,entregado
152,2023-03-26 05:07:59,106,Duis mattis egestas metus. Aenean fermentum.,75,6.0,cancelado
153,2024-02-06 12:50:26,77,Nulla tellus. In sagittis dui vel nisl.,120,8.0,cancelado
154,2024-02-07 16:20:48,52,Proin at turpis a pede posuere nonummy. Integer non velit.,110,3.1,entregado
155,2023-07-14 10:00:59,86,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",45,3.1,entregado
156,2021-07-11 21:14:40,37,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",150,9.1,pendiente
157,2024-01-18 10:03:40,137,Suspendisse potenti.,30,5.5,pendiente
158,2024-05-06 18:41:34,34,Donec posuere metus vitae ipsum.,110,3.1,cancelado
159,2021-07-24 10:33:53,75,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",150,4.8,entregado
160,2022-09-24 09:09:00,32,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,135,4.8,en transito
161,2023-03-30 19:51:14,82,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",150,7.2,cancelado
162,2024-03-16 03:16:16,84,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",120,7.2,entregado
163,2024-10-13 15:59:37,63,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",90,4.0,entregado
164,2024-08-31 06:57:58,139,Nullam porttitor lacus at turpis.,60,4.0,en transito
165,2022-09-14 14:34:23,66,Suspendisse potenti.,75,4.8,entregado
166,2022-08-22 22:49:08,88,Nulla ac enim.,15,7.2,pendiente
167,2023-05-20 02:41:57,53,Duis aliquam convallis nunc.,30,5.5,entregado
168,2023-04-04 13:31:36,60,Nunc rhoncus dui vel sem. Sed sagittis.,90,5.5,cancelado
169,2020-03-08 23:13:41,43,Fusce consequat. Nulla nisl.,60,3.1,cancelado
170,2023-03-23 13:39:58,20,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",120,2.5,pendiente
171,2021-04-01 21:23:31,65,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",75,8.0,cancelado
172,2024-12-01 07:28:27,72,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",30,7.2,cancelado
173,2022-09-23 01:29:05,31,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,135,5.5,en transito
174,2020-07-21 21:12:04,131,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,75,2.5,pendiente
175,2020-07-15 08:05:48,40,Morbi a ipsum.,75,4.0,entregado
176,2023-12-03 09:28:16,62,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",60,6.0,pendiente
177,2024-11-11 17:36:00,33,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",90,5.5,en transito
178,2020-09-19 21:15:57,79,Fusce posuere felis sed lacus.,150,8.0,cancelado
179,2022-04-10 11:28:48,135,Vivamus tortor.,30,9.1,en transito
180,2020-07-27 22:41:48,95,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",120,9.1,entregado
181,2020-05-28 00:46:01,101,Aliquam quis turpis eget elit sodales scelerisque.,135,3.1,pendiente
182,2020-01-19 10:41:06,133,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,30,4.0,cancelado
183,2020-09-19 06:07:42,121,Integer ac leo. Pellentesque ultrices mattis odio.,60,4.8,en transito
184,2022-07-21 05:59:41,139,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,60,4.0,cancelado
185,2022-06-29 22:48:54,86,Fusce consequat.,15,6.0,cancelado
186,2024-08-05 05:58:58,70,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",150,1.2,pendiente
187,2024-01-15 09:05:13,89,Nulla tellus.,120,8.0,cancelado
188,2022-03-16 19:55:56,85,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,15,5.5,en transito
189,2021-06-29 17:10:34,122,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",90,5.5,en transito
190,2022-02-27 17:10:22,110,Phasellus sit amet erat.,150,6.0,pendiente
191,2024-01-02 07:32:08,37,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,120,5.5,entregado
192,2020-11-06 05:13:15,79,Nulla mollis molestie lorem.,135,1.2,en transito
193,2021-11-29 12:03:29,34,Integer tincidunt ante vel ipsum.,45,1.2,entregado
194,2024-04-04 16:57:35,123,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",135,4.8,en transito
195,2021-02-26 09:59:49,119,Pellentesque ultrices mattis odio.,120,4.0,en transito
196,2021-10-15 18:30:21,139,Nulla tempus.,15,4.0,entregado
197,2023-09-24 15:13:57,92,Vivamus in felis eu sapien cursus vestibulum.,120,9.1,en transito
198,2020-03-02 22:23:11,91,Morbi non quam nec dui luctus rutrum. Nulla tellus.,60,7.2,pendiente
199,2020-04-29 17:28:29,49,Mauris sit amet eros.,30,8.0,cancelado
200,2021-11-03 08:10:27,76,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,15,5.5,entregado
201,2022-05-02 01:03:01,2,Fusce consequat. Nulla nisl.,110,3.1,entregado
202,2021-04-21 21:51:22,37,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,30,1.2,cancelado
203,2020-01-29 19:49:12,138,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,120,9.1,entregado
204,2020-08-08 12:15:19,98,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",45,9.1,entregado
205,2023-08-02 12:20:20,81,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",110,1.2,entregado
206,2020-06-29 22:40:38,24,Suspendisse potenti. In eleifend quam a odio.,90,8.0,cancelado
207,2023-04-10 08:33:19,8,Cras in purus eu magna vulputate luctus.,120,6.0,pendiente
208,2020-03-22 17:14:58,60,Nunc rhoncus dui vel sem. Sed sagittis.,45,4.8,entregado
209,2023-07-11 01:01:29,91,Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,135,4.8,cancelado
210,2023-06-22 23:15:02,108,Etiam pretium iaculis justo. In hac habitasse platea dictumst.,135,9.1,en transito
211,2023-09-16 18:22:45,48,Proin risus.,150,8.0,en transito
212,2022-12-28 20:07:09,78,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",135,2.5,entregado
213,2022-01-17 23:58:26,137,Donec vitae nisi.,90,2.5,pendiente
214,2020-03-20 05:11:39,148,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",150,8.0,pendiente
215,2020-09-11 08:42:30,3,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",90,1.2,en transito
216,2020-08-19 08:02:57,104,Nulla ut erat id mauris vulputate elementum.,110,7.2,pendiente
217,2022-01-16 22:12:08,24,Sed accumsan felis.,60,3.1,entregado
218,2021-06-14 16:26:17,121,Proin at turpis a pede posuere nonummy. Integer non velit.,135,8.0,en transito
219,2020-10-05 17:34:23,110,Morbi non lectus.,135,4.8,entregado
220,2020-05-29 19:28:17,115,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,120,7.2,cancelado
221,2023-06-10 00:19:29,56,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",90,3.1,en transito
222,2020-06-26 11:29:21,19,Duis ac nibh.,30,9.1,entregado
223,2021-04-14 09:41:07,7,Pellentesque eget nunc.,150,9.1,pendiente
224,2024-08-27 21:27:52,106,Nam dui.,45,2.5,en transito
225,2022-02-17 16:56:32,25,Proin risus. Praesent lectus.,15,7.2,en transito
226,2021-02-26 02:33:42,108,In hac habitasse platea dictumst.,135,3.1,entregado
227,2023-05-26 07:52:55,72,Morbi a ipsum. Integer a nibh.,110,7.2,pendiente
228,2020-07-02 22:13:18,106,Nulla tempus.,150,5.5,en transito
229,2020-06-03 06:51:40,64,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",110,8.0,cancelado
230,2021-01-19 01:18:45,40,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",30,7.2,en transito
231,2022-11-26 07:00:06,103,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",45,2.5,cancelado
232,2024-08-04 08:23:44,41,Duis mattis egestas metus.,75,3.1,pendiente
233,2020-09-18 22:26:33,122,Morbi non quam nec dui luctus rutrum.,15,3.1,pendiente
234,2022-07-01 04:44:11,120,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",90,7.2,en transito
235,2022-08-01 14:07:22,65,Curabitur gravida nisi at nibh.,75,4.0,en transito
236,2023-06-06 07:50:35,144,Nullam porttitor lacus at turpis.,150,4.0,pendiente
