id_mantenimiento,id_vehiculo,fecha_mantenimiento,tipo_mantenimiento,descripcion_mantenimiento,costo_mantenimiento
49,4,2023-10-19 18:25:10,preventivo,Aliquam sit amet diam in magna bibendum imperdiet.,125095.21
50,8,2024-06-17 15:41:23,correctivo,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",342827.79
51,3,2020-10-08 12:27:01,preventivo,Curabitur in libero ut massa volutpat convallis.,182808.01
52,10,2020-01-14 04:29:32,correctivo,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",221355.41
53,4,2022-10-07 01:04:48,correctivo,Etiam justo.,262242.6
54,9,2020-09-02 11:52:31,preventivo,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,185631.82
55,5,2021-02-02 20:11:56,correctivo,Quisque ut erat. Curabitur gravida nisi at nibh.,91473.76
56,7,2021-07-10 19:44:42,correctivo,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,260886.51
57,8,2021-10-17 10:55:02,correctivo,Morbi non lectus.,77095.68
58,9,2022-06-09 16:10:40,correctivo,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,225597.98
59,5,2020-01-12 05:11:38,preventivo,Ut at dolor quis odio consequat varius. Integer ac leo.,68382.5
60,7,2022-11-28 04:51:11,correctivo,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",272528.5
61,10,2024-09-23 00:44:36,correctivo,Morbi non quam nec dui luctus rutrum. Nulla tellus.,178873.99
62,10,2023-09-25 07:17:51,preventivo,Praesent blandit lacinia erat.,133702.88
63,7,2023-01-15 16:38:25,correctivo,Nam nulla.,85750.77
64,1,2021-11-02 20:48:14,preventivo,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",284009.73
65,5,2022-10-30 03:47:03,preventivo,Sed sagittis.,181690.33
66,10,2021-08-21 08:03:08,correctivo,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,283672.47
67,4,2023-10-31 09:24:55,preventivo,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",56290.58
68,6,2024-10-19 21:06:23,correctivo,Morbi non quam nec dui luctus rutrum. Nulla tellus.,100746.29
69,9,2021-11-21 21:52:44,preventivo,Nulla ut erat id mauris vulputate elementum. Nullam varius.,314806.5
70,7,2020-02-15 16:42:50,correctivo,Mauris lacinia sapien quis libero.,348840.79
71,7,2023-09-22 12:01:14,correctivo,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",230011.45
72,7,2024-03-18 08:54:48,preventivo,Phasellus in felis.,274610.64
73,5,2024-12-27 03:32:34,preventivo,Vivamus tortor. Duis mattis egestas metus.,227353.79
74,5,2020-07-06 22:06:46,preventivo,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,185661.97
75,7,2022-10-15 15:37:45,preventivo,Proin risus.,296452.39
76,10,2021-11-18 09:46:57,preventivo,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",253373.03
77,2,2020-10-21 18:40:08,preventivo,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",143851.94
78,9,2023-12-13 19:31:47,correctivo,Nullam varius.,172182.37
79,8,2024-02-19 14:50:41,correctivo,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,156642.56
80,3,2022-10-21 15:20:20,correctivo,Suspendisse potenti.,287970.57
81,8,2021-03-08 17:36:39,correctivo,Nam tristique tortor eu pede.,72370.6
82,2,2020-12-02 02:38:55,preventivo,Aenean lectus.,308846.65
83,2,2023-03-25 08:56:40,correctivo,Duis consequat dui nec nisi volutpat eleifend.,149435.05
84,3,2024-08-02 13:05:31,preventivo,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",207189.09
85,8,2021-01-09 22:24:56,preventivo,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,102638.88
86,7,2021-08-31 20:21:06,correctivo,Aenean fermentum.,77028.41
87,4,2022-02-22 12:52:31,correctivo,Duis at velit eu est congue elementum.,313072.36
88,5,2023-05-24 23:37:43,correctivo,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",177443.87
89,2,2024-12-10 15:37:43,correctivo,Etiam pretium iaculis justo. In hac habitasse platea dictumst.,192413.93
90,6,2024-05-04 07:41:57,correctivo,Donec semper sapien a libero. Nam dui.,310916.2
91,4,2023-02-26 12:52:37,preventivo,Suspendisse potenti. Nullam porttitor lacus at turpis.,146035.43
92,9,2020-05-03 02:03:58,correctivo,Nunc rhoncus dui vel sem. Sed sagittis.,224212.89
93,1,2024-11-06 22:25:30,correctivo,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",169252.22
94,3,2020-06-20 01:36:36,preventivo,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",287600.79
95,4,2022-03-07 06:02:04,correctivo,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,287667.64
96,1,2022-02-11 10:36:15,correctivo,Nunc nisl.,149586.5
97,10,2022-03-10 17:32:28,correctivo,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,262267.26
98,10,2020-12-28 10:50:49,correctivo,Aenean lectus.,92489.59
99,2,2024-02-18 00:05:36,correctivo,Duis consequat dui nec nisi volutpat eleifend.,108151.23
100,9,2022-05-30 09:08:18,preventivo,Nunc rhoncus dui vel sem. Sed sagittis.,22831.52
101,3,2024-06-09 07:35:26,preventivo,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",214499.48
102,4,2021-07-21 05:50:51,preventivo,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",221750.62
103,1,2022-04-10 09:11:22,correctivo,Morbi non quam nec dui luctus rutrum. Nulla tellus.,93633.79
104,5,2023-02-11 05:44:15,correctivo,In quis justo.,262329.89
105,8,2022-09-23 00:02:14,correctivo,Integer ac leo. Pellentesque ultrices mattis odio.,73879.15
106,10,2023-03-12 03:05:08,correctivo,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",202513.92
107,7,2023-06-28 10:31:27,correctivo,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",236174.0
108,3,2021-04-18 13:45:12,correctivo,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",94360.0
109,10,2020-07-26 08:41:32,preventivo,Quisque ut erat. Curabitur gravida nisi at nibh.,169954.52
110,2,2024-02-03 13:13:20,preventivo,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,75019.72
111,5,2024-05-04 20:29:29,correctivo,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",109459.81
112,9,2024-10-11 12:38:25,preventivo,Morbi porttitor lorem id ligula.,301970.12
113,5,2024-12-27 06:59:30,correctivo,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",113115.67
114,8,2021-11-27 02:02:25,correctivo,Donec quis orci eget orci vehicula condimentum.,282447.09
115,8,2023-02-12 03:53:59,preventivo,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",252618.15
116,1,2023-10-02 06:02:02,preventivo,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,79421.29
117,5,2023-10-25 10:17:17,correctivo,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",110594.57
118,3,2023-04-28 00:18:58,preventivo,Nullam molestie nibh in lectus.,132640.41
119,2,2020-09-09 18:11:14,preventivo,Mauris sit amet eros.,139881.5
120,5,2022-01-29 12:24:22,correctivo,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",246455.5
121,6,2024-07-21 10:00:46,preventivo,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.,252363.06
122,9,2023-06-11 04:52:21,correctivo,Proin risus.,218688.22
123,9,2021-08-23 21:46:28,correctivo,Praesent blandit.,152014.53
124,2,2022-01-31 17:07:53,preventivo,Integer ac neque.,75560.53
125,10,2020-01-19 07:24:01,correctivo,Fusce consequat. Nulla nisl.,291599.73
126,7,2020-08-17 07:42:00,preventivo,Sed vel enim sit amet nunc viverra dapibus.,240343.98
127,3,2021-01-22 09:09:05,preventivo,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",298030.02
128,3,2023-09-18 13:18:53,preventivo,Nullam varius. Nulla facilisi.,314826.67
129,3,2023-06-08 16:25:33,preventivo,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",208393.95
130,9,2024-08-22 11:40:00,correctivo,Curabitur at ipsum ac tellus semper interdum.,185306.15
131,10,2022-07-11 03:25:43,preventivo,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,62199.32
132,6,2021-11-14 16:10:24,preventivo,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,277830.06
133,8,2022-01-18 02:36:09,correctivo,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,277258.66
134,6,2023-09-07 00:16:18,preventivo,In hac habitasse platea dictumst.,156264.6
135,4,2023-07-24 00:43:09,preventivo,Integer ac neque. Duis bibendum.,75515.81
136,9,2020-02-21 02:38:38,correctivo,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",187766.54
137,7,2023-10-20 19:32:11,preventivo,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",198224.86
138,1,2022-08-12 03:12:40,preventivo,Donec quis orci eget orci vehicula condimentum.,83330.91
139,8,2020-12-22 04:26:20,correctivo,Aenean sit amet justo.,328001.86
140,9,2024-01-15 07:39:44,correctivo,Duis mattis egestas metus.,293231.01
141,6,2023-06-27 10:22:11,correctivo,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,200979.53
142,10,2024-05-27 11:53:42,preventivo,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",263590.28
143,7,2020-04-14 22:44:09,correctivo,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,30537.61
144,7,2024-08-30 04:01:21,correctivo,Praesent blandit. Nam nulla.,218095.7
145,4,2021-02-22 09:27:59,correctivo,Donec semper sapien a libero.,67926.08
146,6,2021-02-21 05:08:25,preventivo,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",190093.63
147,4,2023-05-17 03:00:12,preventivo,Nulla nisl.,254399.95
148,8,2024-09-24 09:15:19,correctivo,Donec posuere metus vitae ipsum. Aliquam non mauris.,60243.35
149,3,2020-11-11 14:01:29,preventivo,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,29419.01
150,8,2022-11-26 03:41:14,correctivo,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",84639.94
151,8,2024-01-09 14:14:48,preventivo,Etiam justo.,193611.17
152,2,2022-05-04 06:40:29,correctivo,Sed accumsan felis.,81812.13
153,3,2024-07-21 20:59:01,correctivo,Nullam varius. Nulla facilisi.,216787.33
154,3,2024-05-27 19:13:16,correctivo,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,261677.22
155,9,2020-02-25 23:45:57,correctivo,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",54971.08
156,3,2020-07-13 13:29:00,correctivo,Aenean fermentum.,190961.24
157,1,2024-08-20 12:13:01,correctivo,Phasellus id sapien in sapien iaculis congue.,171260.74
158,9,2021-06-22 17:29:45,preventivo,Aenean sit amet justo.,102313.92
159,8,2024-10-29 12:46:33,correctivo,Morbi ut odio.,20126.55
160,3,2021-01-31 15:34:28,preventivo,Nunc nisl.,80446.37
161,7,2021-10-11 05:02:43,correctivo,Maecenas ut massa quis augue luctus tincidunt.,20487.15
162,8,2021-12-10 07:33:44,correctivo,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",184969.59
163,9,2022-10-01 04:25:27,correctivo,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",25837.36
164,2,2020-07-02 16:49:23,correctivo,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",301642.1
165,6,2022-11-03 18:16:20,correctivo,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",163193.72
166,4,2020-11-04 14:56:00,preventivo,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,326581.44
167,9,2020-11-28 12:37:56,correctivo,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",316186.29
168,10,2022-10-18 19:49:28,preventivo,In congue. Etiam justo.,306874.97
169,8,2020-03-13 13:57:12,correctivo,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",122309.21
170,3,2021-08-22 15:42:29,preventivo,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",272044.95
171,8,2021-09-12 06:26:03,preventivo,Quisque porta volutpat erat.,195853.16
172,7,2021-05-15 16:14:33,preventivo,Curabitur gravida nisi at nibh.,140086.26
173,4,2021-11-23 11:54:38,correctivo,Nullam molestie nibh in lectus. Pellentesque at nulla.,79322.81
174,7,2023-10-11 11:00:44,correctivo,Pellentesque viverra pede ac diam.,311405.99
175,10,2022-07-30 06:20:48,preventivo,Aenean sit amet justo.,122296.65
176,10,2024-09-19 06:45:48,preventivo,Phasellus sit amet erat. Nulla tempus.,191519.24
177,5,2023-03-03 09:06:58,correctivo,Nulla mollis molestie lorem. Quisque ut erat.,113380.24
178,8,2024-01-20 00:57:42,correctivo,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",239814.81
179,8,2024-09-01 17:59:24,preventivo,Vestibulum ac est lacinia nisi venenatis tristique.,134634.21
180,9,2020-07-24 17:22:54,preventivo,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",207896.53
181,7,2020-06-25 23:32:55,correctivo,Donec ut dolor.,254886.22
182,2,2024-12-28 14:10:22,correctivo,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",120279.24
183,10,2021-08-02 04:07:32,preventivo,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",260933.38
184,5,2020-09-06 10:36:29,correctivo,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,55927.89
185,8,2024-05-03 20:09:08,preventivo,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",239526.2
186,8,2023-11-08 23:38:34,preventivo,Suspendisse accumsan tortor quis turpis.,269716.87
187,8,2020-06-12 05:46:08,correctivo,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",324602.04
188,1,2022-10-15 08:04:18,correctivo,Proin at turpis a pede posuere nonummy.,141953.66
189,8,2022-04-28 12:15:47,preventivo,Donec vitae nisi.,132161.31
190,5,2023-04-12 11:51:52,preventivo,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,256325.32
191,2,2022-10-31 06:19:24,preventivo,Duis at velit eu est congue elementum.,15048.71
192,2,2024-04-05 23:49:13,preventivo,Integer ac neque. Duis bibendum.,342469.42
193,9,2020-08-27 10:36:43,preventivo,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",46699.19
194,10,2020-07-01 23:09:13,correctivo,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",116246.06
195,2,2020-01-04 02:00:32,preventivo,Integer ac leo. Pellentesque ultrices mattis odio.,180592.67
196,5,2020-10-01 23:52:53,preventivo,Donec posuere metus vitae ipsum.,83720.17
197,8,2022-04-03 02:06:21,correctivo,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",321259.61
198,3,2020-01-30 04:20:19,correctivo,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",110669.05
199,5,2024-09-16 03:21:35,preventivo,In sagittis dui vel nisl. Duis ac nibh.,255104.91
200,6,2021-02-23 02:40:37,preventivo,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,216519.94
201,3,2024-11-26 08:59:33,preventivo,In eleifend quam a odio.,17897.49
202,1,2020-02-04 08:51:16,preventivo,In blandit ultrices enim.,281886.62
203,4,2024-09-02 04:17:44,preventivo,Vivamus in felis eu sapien cursus vestibulum.,25290.32
204,6,2023-12-04 23:42:59,preventivo,Nullam porttitor lacus at turpis.,32923.4
205,8,2024-01-11 21:26:18,preventivo,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",255762.12
206,4,2024-09-24 00:01:58,correctivo,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,287244.94
207,3,2023-03-20 21:14:52,preventivo,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,276639.92
208,1,2024-08-20 06:18:11,preventivo,Nulla ac enim.,211522.79
209,6,2020-08-13 00:36:47,correctivo,Aenean fermentum.,135681.46
210,10,2020-11-03 14:47:01,correctivo,Aliquam non mauris.,283735.55
211,8,2022-06-12 04:38:47,preventivo,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,42754.75
212,10,2024-06-05 16:16:19,preventivo,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",148548.83
213,6,2020-08-28 04:27:42,correctivo,Suspendisse potenti.,288547.95
214,10,2021-08-25 04:49:39,correctivo,Nunc rhoncus dui vel sem.,113561.75
215,9,2023-04-09 09:03:36,preventivo,Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,76882.61
216,5,2022-08-05 16:47:57,correctivo,Aenean fermentum.,102288.16
217,1,2022-08-25 22:59:01,correctivo,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,184169.44
218,6,2023-07-04 23:30:33,correctivo,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,20131.06
219,5,2021-12-08 14:26:38,preventivo,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,283955.79
220,3,2021-02-21 01:06:13,preventivo,In hac habitasse platea dictumst.,44560.93
221,2,2023-12-11 16:32:08,correctivo,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,40233.62
222,7,2023-08-06 15:35:51,correctivo,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,162962.87
223,5,2023-06-25 20:16:23,correctivo,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",44770.43
224,8,2024-11-19 04:21:06,preventivo,Donec semper sapien a libero.,147016.16
225,8,2024-01-04 03:18:25,correctivo,Quisque id justo sit amet sapien dignissim vestibulum.,206137.84
226,9,2021-08-24 22:46:36,correctivo,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",67662.53
227,9,2024-02-27 10:47:43,correctivo,Suspendisse potenti.,10945.77
228,1,2020-11-24 22:09:38,preventivo,Proin at turpis a pede posuere nonummy.,238914.01
229,8,2023-01-13 15:53:13,preventivo,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",214570.82
230,10,2023-10-14 02:40:39,preventivo,Duis mattis egestas metus. Aenean fermentum.,203061.33
231,5,2024-05-13 12:40:32,preventivo,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,213954.34
232,5,2022-07-23 06:48:00,preventivo,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,238079.58
233,5,2022-08-29 07:03:01,correctivo,Morbi non lectus.,24254.58
234,6,2024-01-23 14:52:05,preventivo,Nullam porttitor lacus at turpis.,166335.39
235,1,2020-05-09 17:36:59,preventivo,Morbi quis tortor id nulla ultrices aliquet.,149471.11
236,5,2020-07-09 04:30:23,correctivo,Vivamus in felis eu sapien cursus vestibulum.,81928.28
237,3,2022-06-11 06:47:19,correctivo,Duis consequat dui nec nisi volutpat eleifend.,198760.4
238,6,2023-12-27 07:51:20,correctivo,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",275907.14
239,5,2021-11-14 23:05:10,correctivo,Maecenas tincidunt lacus at velit.,19741.91
240,3,2023-02-20 01:20:13,preventivo,In quis justo.,185058.51
241,8,2023-10-04 17:38:03,preventivo,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",335948.19
242,8,2024-01-11 15:44:19,preventivo,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",270268.71
